League	Team Name	Date Added	Team Type	&nbsp;	&nbsp;	&nbsp;	
CT Rollergirls	Iron Angels	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
CT Rollergirls	Stepford Sabotage	10-19-07	Travel	&nbsp;	&nbsp;	&nbsp;	
CT Rollergirls	WidowMakers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Dallas Derby Devils	Army of Darkness	3-24-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Dallas Derby Devils	Death Row Rumblers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Dallas Derby Devils	High Seas Hotties	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Dallas Derby Devils	Slaughterers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Dallas Derby Devils	Suicide Shifters	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Dallas Derby Devils	Wrecking Crew	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Dark River Derby Coalition	Dark River Derby Coalition	1-3-2011	League	&nbsp;	&nbsp;	&nbsp;	
Davis Derby Dames	Nightmares & Dreamskates	02-16-07	League	&nbsp;	&nbsp;	&nbsp;	
Daylesford Derby Dolls	Evil Dead Dolls	2-23-2011	League	&nbsp;	&nbsp;	&nbsp;	
Daylesford Derby Dolls	Lair Witches	2-23-2011	League	&nbsp;	&nbsp;	&nbsp;	
DC Rollergirls	DC All Stars	3-25-2010	A Travel	&nbsp;	&nbsp;	&nbsp;	
DC Rollergirls	Capital Offenders	3-25-2010	B Travel	&nbsp;	&nbsp;	&nbsp;	
DC Rollergirls	Cherry Blossom Bombshells	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
DC Rollergirls	DC Demon Cats	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
DC Rollergirls	Scare Force One	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Dead End Derby	Cell Block Brawlers (cleared)	08-20-08	League	&nbsp;	&nbsp;	&nbsp;	
Dead End Derby	Carnage Academy	04-22-08	League	&nbsp;	&nbsp;	&nbsp;	
Dead End Derby	Filthy Habits	01-08-09	League	&nbsp;	&nbsp;	&nbsp;	
Dead Girl Derby KC	Gang Green	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Dead Girl Derby KC	Black Plague	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Demolition City Roller Derby	Dynamite Dolls	12-07-07	A Travel	&nbsp;	&nbsp;	&nbsp;	
Demolition City Roller Derby	Destruction Dames	12-11-2009	B Travel	&nbsp;	&nbsp;	&nbsp;	
Denali Detroyers	Valley Vixens	6-25-2010	League	&nbsp;	&nbsp;	&nbsp;	
Denali Detroyers	Mat-Su Maidens	6-25-2010	League	&nbsp;	&nbsp;	&nbsp;	
Denver Roller Dolls	Bad Apples	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Denver Roller Dolls	Business Casualties	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Denver Roller Dolls	Green Barrettes	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Denver Roller Dolls	Mile High Club	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Denver Roller Dolls	Shotgun Betties	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Derby City Rollergirls	Jackie O'Nasties	02-11-07	League	&nbsp;	&nbsp;	&nbsp;	
Derby City Rollergirls	Red Menace	02-10-07	League	&nbsp;	&nbsp;	&nbsp;	
Derby Lite	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Derby Revolution of Bakersfield	Militia	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Derby Revolution of Bakersfield	Privates	12-10-2009	B Travel	&nbsp;	&nbsp;	&nbsp;	
Derby Revolution of Bakersfield	Derby Brats	8-20-2010	League	&nbsp;	&nbsp;	&nbsp;	
Desert Dolls Roller Derby	Cosmic Killas	8-28-2010	League	&nbsp;	&nbsp;	&nbsp;	
Desert Dolls Roller Derby	Joon Cleavers	8-28-2010	League	&nbsp;	&nbsp;	&nbsp;	
Desert Dolls Roller Derby	Pretty H8	8-28-2010	League	&nbsp;	&nbsp;	&nbsp;	
Desert Rat Roller Brats	&nbsp;	12-2-2009	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Detroit Derby Girls	Detroit Derby Girls Allstars	12-28-2009	A Travel	&nbsp;	&nbsp;	&nbsp;	
Detroit Derby Girls	Motor City Disassembly Line	12-28-2009	B Travel	&nbsp;	&nbsp;	&nbsp;	
Detroit Derby Girls	Detroit Pistoffs	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Detroit Derby Girls	Devil's Night Dames	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Detroit Derby Girls	D-Funk Allstars	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Detroit Derby Girls	Pistol Whippers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Devil Dog Derby Dames	Blitzkrieg Betties	3-27-2011	League	&nbsp;	&nbsp;	&nbsp;	
Devil Dog Derby Dames	Machine Gun Mollies	3-27-2011	League	&nbsp;	&nbsp;	&nbsp;	
Diamond State Rollergirls	Diamond State Rollergirls	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Dire Skates, The	Dire Skates, The"	6-14-2011	League	&nbsp;	&nbsp;	&nbsp;	
Dirt City Roller Rats	Dirt City Roller Rats	3-31-3011	League	&nbsp;	&nbsp;	&nbsp;	
Dirty Verde Roller Derby	Dirty Verde Roller Derby	05-15-09	Travel	&nbsp;	&nbsp;	&nbsp;	
Dirty Verde Roller Derby	Smelter City Sirens	07-29-10	League	&nbsp;	&nbsp;	&nbsp;	
Dirty Verde Roller Derby	Mucker Maivens	07-29-10	League	&nbsp;	&nbsp;	&nbsp;	
Disaster City Roller Girls	Disaster City Roller Girls	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Dixie Derby Girls	Dixie Derby's Raging Rockets	12-31-2009	A Travel	&nbsp;	&nbsp;	&nbsp;	
Dixie Derby Girls	Dixie Derby Girls	12-31-2009	B Travel	&nbsp;	&nbsp;	&nbsp;	
Dockyard Derby Dames	Wave of Mutilation	8-11-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Dockyard Derby Dames	Femme Fiana	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Dockyard Derby Dames	Hellbound Homewreckers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Dockyard Derby Dames	Marauding Mollys	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Dockyard Derby Dames	Trampires	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Dodge City Rollers	Dodge City Rollers	11-29-2010	League	&nbsp;	&nbsp;	&nbsp;	
Duluth/Superior Junior Roller Derby	Duluth/Superior Junior Roller Derby	9-10-2010	League	&nbsp;	&nbsp;	&nbsp;	
Dominion Derby Girls	All Stars	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Dominion Derby Girls	All Stripes	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Duke City Derby	DIA (Derby Intelligence Agency)	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Duke City Derby	Dooms Dames	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Duke City Derby	Hobots	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Duke City Derby	Munecas Muertes	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Duke City Derby	Taos Whiplashes	8-3-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Duluth/Superior Roller Derby League	Duluth Derby Divas	7-15-2010	League	&nbsp;	&nbsp;	&nbsp;	
Dundee Destroyers	Dundee Destroyers	8-31-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Durham Region Roller Derby	The Classy Trashy Roller Girls	8-11-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Dusty Derby Divas	Dusty Derby Divas	12-7-2010	League	&nbsp;	&nbsp;	&nbsp;	
Dutchland Rollers	Dutchland All Stars	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Dutchland Rollers	Dutchland Blitz	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
DV8 Derby Skaterz	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
East Texas Bombers	Anti-Socialites	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
East Texas Bombers	Assault Vixens	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
East Kootenay Roller Derby	Killer Rollbots	6-18-2011	League	&nbsp;	&nbsp;	&nbsp;	
East Kootenay Roller Derby	The Mountain Town Maulers	6-18-2011	League	&nbsp;	&nbsp;	&nbsp;	
East Kootenay Roller Derby	Avalanche City Roller Girl	6-18-2011	League	&nbsp;	&nbsp;	&nbsp;	
East Kootenay Roller Derby	Bavarian Barbarians	6-18-2011	League	&nbsp;	&nbsp;	&nbsp;	
Eastern Distric Roller Derby	Eastern District Roller Derby	5-28-2010	League	&nbsp;	&nbsp;	&nbsp;	
Eerie Roller Girls	Eerie Roller Girls	10-26-2010	League	&nbsp;	&nbsp;	&nbsp;	
El Paso Roller Derby	Tex Pistols	11-16-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
El Paso Roller Derby	Texas Pistol WhipHers	11-16-2010	League	&nbsp;	&nbsp;	&nbsp;	
Elm City Derby Damez	Elm City Derby Damez	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Emerald City Junior Gems	Shipwrecked Sheilas	2-9-2010	Home	&nbsp;	&nbsp;	&nbsp;	
Emerald City Junior Gems	Grease Monkeys	2-9-2010	Home	&nbsp;	&nbsp;	&nbsp;	
Emerald City Junior Gems	Emerald City Junior Gems	2-9-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Emerald City Roller Girls	AndromeDolls	07-29-07	League	&nbsp;	&nbsp;	&nbsp;	
Emerald City Roller Girls	Church of Sk8in (Cleared)	08-01-07	League	&nbsp;	&nbsp;	&nbsp;	
Emerald City Roller Girls	Flat Track Furies	08-21-07	League	&nbsp;	&nbsp;	&nbsp;	
Emerald City Roller Girls	Skatesaphrenics	04-28-08	Travel	&nbsp;	&nbsp;	&nbsp;	
Energetic City Roller Derby Association	Energetic City Roller Derby Association	06-17-10	League	&nbsp;	&nbsp;	&nbsp;	
Enid Roller Girls	Blackeye Bombshells	08-18-10	League	&nbsp;	&nbsp;	&nbsp;	
Eves of Destruction	Eves of Destruction All Stars	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Eves of Destruction	Margarita Villains	01-06-10	League	&nbsp;	&nbsp;	&nbsp;	
Eves of Destruction	Belles of the Brawl	01-06-10	League	&nbsp;	&nbsp;	&nbsp;	
Eves of Destruction	Code Blue	08-13-10	League	&nbsp;	&nbsp;	&nbsp;	
E-Ville Roller Derby	E-Ville Dead	12-29-09	Travel	&nbsp;	&nbsp;	&nbsp;	
E-Ville Roller Derby	Black Gold Diggers	12-29-2009	League	&nbsp;	&nbsp;	&nbsp;	
E-Ville Roller Derby	Los Pistolitas	12-29-2009	League	&nbsp;	&nbsp;	&nbsp;	
E-Ville Roller Derby	Slice Girls	12-29-2009	League	&nbsp;	&nbsp;	&nbsp;	
E-Ville Roller Derby	Raw Zombies	9-21-2010	League	&nbsp;	&nbsp;	&nbsp;	
Fabulous Sin City Rollergirls	All Stars	8-4-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Fabulous Sin City Rollergirls	Hoover Damned	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Fabulous Sin City Rollergirls	Notorious V.I.P.	05-21-08	League	&nbsp;	&nbsp;	&nbsp;	
Fabulous Sin City Rollergirls	Tommy Gun Terrors	05-21-08	League	&nbsp;	&nbsp;	&nbsp;	
Fair City Rollers	Fear Maidens	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Fairbanks Rollergirls	Fairbanks Rollergirls	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Fargo Moorhead Derby Girls	FMDG All Stars	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Fargo Moorhead Derby Girls	Monkey Wenches	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Fargo Moorhead Derby Girls	Fighting Suzies	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Farm Fresh Roller Girls	Farm Fresh Roller Girls	08-04-10	League	&nbsp;	&nbsp;	&nbsp;	
Flat Out Roller Derby	Pirate Mafia	03-14-11	League	&nbsp;	&nbsp;	&nbsp;	
Flat Out Roller Derby	Harley Divas	03-14-11	League	&nbsp;	&nbsp;	&nbsp;	
Flat Out Roller Derby	Lafitte Ladies	03-14-11	Travel	&nbsp;	&nbsp;	&nbsp;	
Flint City Derby Girls	Heartbreak Hustlers	12-15-09	League	&nbsp;	&nbsp;	&nbsp;	
Flint City Derby Girls	Vehicle City Vixens	12-15-09	League	&nbsp;	&nbsp;	&nbsp;	
Floral City Roller Girls	Floral City Roller Girls	08-16-11	League	&nbsp;	&nbsp;	&nbsp;	
Florence Blitzkrieg Betties	Florence Blitzkrieg Betties	02-21-11	League	&nbsp;	&nbsp;	&nbsp;	
Florida Hardcore Derby League	Daddys Little Defects	08-11-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Florida Rollergirls	PsiKO (Psi Kappa Omega) Sisters	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Florida Rollergirls	Riptide Rollers	04-24-07	League	&nbsp;	&nbsp;	&nbsp;	
Fo Co Girls Gone Derby	Fort Collins Microbruisers	3-18-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Fo Co Girls Gone Derby	Chanel Cartel	3-18-2010	League	&nbsp;	&nbsp;	&nbsp;	
Fo Co Girls Gone Derby	Deathrow Dolls	3-18-2010	League	&nbsp;	&nbsp;	&nbsp;	
Fon Du Lac	Fearsome Fondy Foxes	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Forest City Derby Girls	Thames Fatales	07-02-08	Travel	&nbsp;	&nbsp;	&nbsp;	
Fort Myers Derby Girls	Palm City Punishers	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Fort Myers Derby Girls	Ft. Myers Miss Demeanors	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Fort Wayne Derby Girls	Bomb Squad	12-11-09	A Travel	&nbsp;	&nbsp;	&nbsp;	
Fort Wayne Derby Girls	SWAT	12-11-09	B Travel	&nbsp;	&nbsp;	&nbsp;	
Fox Cityz Foxz	The 8 Queen Wheelers	04-13-08	League	&nbsp;	&nbsp;	&nbsp;	
Fox Cityz Foxz	Paper Dolls	04-13-08	League	&nbsp;	&nbsp;	&nbsp;	
Fox Cityz Foxz	Pushy Posse	09-11-07	League	&nbsp;	&nbsp;	&nbsp;	
Fox Cityz Foxz	Rollergirl Regiment	04-13-08	League	&nbsp;	&nbsp;	&nbsp;	
Fox Cityz Foxz	The Scream Puffz	04-20-09	Travel	&nbsp;	&nbsp;	&nbsp;	
Free State Roller Derby	Free State Roller Derby	11-10-11	League	&nbsp;	&nbsp;	&nbsp;	
Fremantle Derby Dames	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Fresno Valley Fever Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Gainesville Roller Rebels	Gainesville Roller Rebels	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Gapland Rollers	Gapland Rollers	10-13-2010	League	&nbsp;	&nbsp;	&nbsp;	
Garden State Rollergirls	Ironbound Maidens	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Garden State Rollergirls	Jersey City Bridge & Pummel	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Garden State Rollergirls	Northern Nightmares	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
GateKeepers Roller Derby	South Grand Slammers	4-22-2011	Men	&nbsp;	&nbsp;	&nbsp;	
GateKeepers Roller Derby	Dogtown Rockets	4-22-2011	Men	&nbsp;	&nbsp;	&nbsp;	
GateKeepers Roller Derby	Riverfront Crimes	4-22-2011	Men	&nbsp;	&nbsp;	&nbsp;	
GateKeepers Roller Derby	GateKeepers Travel Team	4-22-2011	Men	&nbsp;	&nbsp;	&nbsp;	
GateKeepers Roller Derby	B-Keepers	4-22-2011	Men	&nbsp;	&nbsp;	&nbsp;	
Gawler Roller Derby	Gawler Roller Derby	5-23-2011	League	&nbsp;	&nbsp;	&nbsp;	
Geelong Roller Derby	Bloody Marys	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Geelong Roller Derby	Atom Bombs	12-13-2009	League	&nbsp;	&nbsp;	&nbsp;	
Geelong Roller Derby	Psychotics	12-13-2009	League	&nbsp;	&nbsp;	&nbsp;	
Gem City Rollergirls	Gem City Rollergirls	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Gent GO-GO Roller Girls	Gent GO-GO Roller Girls	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Gent GO-GO Roller Girls	Bells of Mayhem	2-21-2011	League	&nbsp;	&nbsp;	&nbsp;	
Gent GO-GO Roller Girls	Mad Megs	2-21-2011	League	&nbsp;	&nbsp;	&nbsp;	
Girls Rollin in the South	Breakneck Brawlers	11-14-2010	League	&nbsp;	&nbsp;	&nbsp;	
Glasgow Roller Girls	Irn Bruisers	11-13-08	Travel	&nbsp;	&nbsp;	&nbsp;	
Glass City Rollers	Glass City Rollers	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Gold Coast Derby Grrls	Gold Coast Derby Grrls	04-02-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Gold Coast Roller Derby	Maids of Pain	05-24-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Gold Coast Roller Derby	Pain Clinic	03-10-09	League	&nbsp;	&nbsp;	&nbsp;	
Gold Coast Roller Derby	The Murdamaids	04-26-09	League	&nbsp;	&nbsp;	&nbsp;	
Gold Miners' Daughters	Gold Miners' Daughters	3-16-2011	League	&nbsp;	&nbsp;	&nbsp;	
Gotham Girls Roller Derby	Gotham Girls Roller Derby All Stars	12-12-2009	Travel	&nbsp;	&nbsp;	&nbsp;	
Gotham Girls Roller Derby	Bronx Gridlock	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Gotham Girls Roller Derby	Brooklyn Bombshells	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Gotham Girls Roller Derby	Manhattah Mayhem	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Gotham Girls Roller Derby	Queens of Pain	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Gothenburg Roller Derby League	West Coast Bombshell	8-10-2010	League	&nbsp;	&nbsp;	&nbsp;	
Grand Junction Roller Girls	Grand Junction Roller Girls	8-4-2010	League	&nbsp;	&nbsp;	&nbsp;	
Grand Raggidy Roller Girls	Grand Raggidy All Stars	12-15-2009	A Travel	&nbsp;	&nbsp;	&nbsp;	
Grand Raggidy Roller Girls	G-Rap Attack!	12-15-2009	B Travel	&nbsp;	&nbsp;	&nbsp;	
Grand Rapids Area Roller Derby Association	Iron Madiens	12-29-2010	League	&nbsp;	&nbsp;	&nbsp;	
Grand Strand Roller Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Granite City Roller Girls	Granite City Roller Girls	12-14-2009	Travel	&nbsp;	&nbsp;	&nbsp;	
Greater Toronto Area Rollergirls	Derby Debutantes	05-18-07	League	&nbsp;	&nbsp;	&nbsp;	
Greater Toronto Area Rollergirls	Deb Stars	09-21-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Green Bay Bombshells	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Green Country Roller Girls	All Starz	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Green Country Roller Girls	Thunder Dollz	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Green Mountain Derby Dames	Green Mountain Derby Dames	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Green Valley Roller Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Greensboro Roller Derby	Elm St. Nightmares	3-3-2011	League	&nbsp;	&nbsp;	&nbsp;	
Greensboro Roller Derby	Mad Dollies	3-3-2011	League	&nbsp;	&nbsp;	&nbsp;	
Greensboro Roller Derby	Battleground Betties	3-3-2011	League	&nbsp;	&nbsp;	&nbsp;	
Greensboro Roller Derby	Gate City Roller Girls	3-3-2011	League	&nbsp;	&nbsp;	&nbsp;	
Greenville Derby Dames	Greenville Derby Dames	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
GTA Rollergirls	Chrome Mollys	5-5-2010	League	&nbsp;	&nbsp;	&nbsp;	
GTA Rollergirls	G-Stars	2-23-2011	Travel	&nbsp;	&nbsp;	&nbsp;	
Gulf Coast Roller League	Laffite's Laides	12-17-2010	League	&nbsp;	&nbsp;	&nbsp;	
Gulf Coast Roller League	Hurrican Belles	12-17-2010	League	&nbsp;	&nbsp;	&nbsp;	
Gulf Coast Roller League	Mission Unblockables	12-17-2010	League	&nbsp;	&nbsp;	&nbsp;	
Gulf Region Roller League	G.R.R.L. A List	3-17-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Gulf Region Roller League	Black & Blue Angels	11-12-07	League	&nbsp;	&nbsp;	&nbsp;	
Gulf Region Roller League	Greaser Ghouls	11-12-07	League	&nbsp;	&nbsp;	&nbsp;	
Hammer City Roller Girls	Deathrow Dames	12-14-07	League	&nbsp;	&nbsp;	&nbsp;	
Hammer City Roller Girls	eh team	06-06-07	Travel	&nbsp;	&nbsp;	&nbsp;	
Hammer City Roller Girls	Hamilton Harlots	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Hammer City Roller Girls	Steel Town Tank Girls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Happy Valley Derby Darlins	Happy Valley Derby Darlins	2-10-2011	League	&nbsp;	&nbsp;	&nbsp;	
Harbor City RollerDames	Church of Skaten	04-04-07	League	&nbsp;	&nbsp;	&nbsp;	
Harbor City RollerDames	Lady Seals	05-02-08	League	&nbsp;	&nbsp;	&nbsp;	
Harbor City RollerDames	Skatomasochists	02-01-11	League	&nbsp;	&nbsp;	&nbsp;	
Harbor Girls e.V.	Harbor Girls	12-13-10	League	&nbsp;	&nbsp;	&nbsp;	
Hard Knox Roller Derby	All Stars	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Hard Knox Roller Derby	Brawlers	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Harm City Roller Derby	Harm City Homicide	12-14-2009	Travel	&nbsp;	&nbsp;	&nbsp;	
Harmonic Violence RollerGirl_s	Bela' Donnas	12-5-2010	League	&nbsp;	&nbsp;	&nbsp;	
Harmonic Violence RollerGirl_s	ShowStompers	12-5-2010	League	&nbsp;	&nbsp;	&nbsp;	
Harmonic Violence RollerGirl_s	Atomic Punx	12-5-2010	League	&nbsp;	&nbsp;	&nbsp;	
Harmonic Violence RollerGirl_s	Death Row-lers	12-5-2010	League	&nbsp;	&nbsp;	&nbsp;	
Harrisburg Area Roller Derby	Nuclear Knockouts	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Hawaii Pacific Roller Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Heart of Appalachia Roller Derby	Heart of Appalachia Roller Derby	3-31-2011	League	&nbsp;	&nbsp;	&nbsp;	
Hellfire Harlots	Hellfire Harlots	5-8-2010	Leauge	&nbsp;	&nbsp;	&nbsp;	
Hellgate Rollergirls	Brawlin' Mollies	5-21-2011	League	&nbsp;	&nbsp;	&nbsp;	
Hellgate Rollergirls	Dirt Road Dolls	5-21-2011	League	&nbsp;	&nbsp;	&nbsp;	
Hellgate Rollergirls	Pink Ladies	5-21-2011	League	&nbsp;	&nbsp;	&nbsp;	
Hellions of Troy Roller Derby	Hellions of Troy Roller Derby	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Hellminton Roller Ghouls	Hellminton Roller Ghouls	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Helltown Hellcats	Helltown Hellcats	4-22-2011	League	&nbsp;	&nbsp;	&nbsp;	
Hermiston Roller Divas	Hermiston Roller Divas	4-3-2011	League	&nbsp;	&nbsp;	&nbsp;	
Hidden City Derby Girls	Murder Maids	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
High Desert Derby Devils	High Desert Derby Devils	2-19-2011	Leage	&nbsp;	&nbsp;	&nbsp;	
High Desert RattleSkates	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Hong Kong Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Honolulu Derby Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Hoosiers Nest Derby Brats	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Hot Wheels Roller Derby	Hot Wheels Roller Derby	8-10-2010	League	&nbsp;	&nbsp;	&nbsp;	
Houston Roller Derby	Hard Knocks	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Houston Roller Derby	Bayou City Bosses	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Houston Roller Derby	Burlesque Brawlers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Houston Roller Derby	Machete Betties	&nbsp;	Rec League	&nbsp;	&nbsp;	&nbsp;	
Houston Roller Derby	Psych Ward Sirens	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Hub City Derby Dames	The Southern Misfits	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Hudson Valley Horrors	Hudson Valley Horrors	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Hudson Valley Horrors	zomBsquad	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Humboldt Roller Derby	Redwood Rollers	11-3-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Humboldt Roller Derby	Widow Makers	11-3-2010	League	&nbsp;	&nbsp;	&nbsp;	
Humboldt Roller Derby	North Jetty Bettie's	11-3-2010	League	&nbsp;	&nbsp;	&nbsp;	
Hurricane Alley Roller Derby	Black-Eyed Brigade	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Hurricane Alley Roller Derby	Broads on Quads	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Hurricane Alley Roller Derby	Brass Knuckle Brawlers	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
ICT Roller Girls	ICT Roller Girls	12-9-2009	League	&nbsp;	&nbsp;	&nbsp;	
The Inhuman League	The Inhuman League	2-4-2011	League	&nbsp;	&nbsp;	&nbsp;	
Inland Empire Derby Divas	Blood Marys	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Inland Empire Derby Divas	Sleezy Riders	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Inland Empire Derby Divas	Torque Wenches	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Inland Empire Derby Divas	Trailer Park Tornadoes	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Inland Empire Derby Divas	Kung Pow Kitties	12-17-2009	Travel	&nbsp;	&nbsp;	&nbsp;	
Ireland Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
